"ID","longitude","latitude","x_proj","y_proj","richness_true","residuals","local_error_variance","abs_residual"
391,146.173907,-29.31716677,1357999.52262719,-3262164.43653014,9,-7.38228052394327,30.2017825846345,7.38228052394327
392,146.2063339,-29.28540572,1361488.81347015,-3258969.50623048,20,2.46014576898303,34.6608774082408,2.46014576898303
395,146.2543733,-29.31181034,1365743.94376991,-3262425.19722584,32,16.1702226827656,35.376210249943,16.1702226827656
396,146.2203825,-29.29269051,1362738.87197186,-3259931.23494965,16,-0.957855450530499,35.6592448742051,0.957855450530499
397,146.1457198,-29.24438291,1356211.94676173,-3253752.29722454,21,-1.43068582372206,30.5680060816872,1.43068582372206
399,146.1420226,-29.27430438,1355488.21866811,-3257048.27808834,11,-2.52630488309243,32.5185338167854,2.52630488309243
405,146.1398346,-29.3118434,1354814.35057376,-3261209.33150484,13,-1.19894539967963,30.8321386029265,1.19894539967963
406,150.9713667,-26.30479593,1864685.38207779,-2987550.18865192,40.66688919,11.5892454248151,84.9198279668506,11.5892454248151
411,150.642695,-26.97755103,1821640.00069155,-3057449.9716811,11.1337902,-11.0571123736808,56.2087729018177,11.0571123736808
412,148.6016424,-28.067356,1607552.92486409,-3151157.59598668,3.782966436,-19.5872325249069,64.076341999293,19.5872325249069
416,143.6154776,-30.68319426,1099723.5639451,-3389918.84770722,12.24744871,-1.592349666692,27.0197612920428,1.592349666692
417,143.6226797,-30.62836607,1100961.68980499,-3383862.85415792,23.67840085,7.41291754468528,28.0518403079967,7.41291754468528
424,143.6219706,-30.68900686,1100277.44329044,-3390623.3373537,12.24744871,-2.9547081145304,27.0197612920428,2.9547081145304
425,150.3403466,-26.9366627,1792957.63556499,-3048634.14936651,22.26758041,-0.312725916906821,52.2037590522616,0.312725916906821
429,146.1625185,-29.33971244,1356633.14466528,-3264556.37981049,8,-6.77419330221787,32.5776086692306,6.77419330221787
430,146.1445406,-29.34883089,1354805.09312209,-3265381.94896236,20,5.60932354288637,32.5776086692306,5.60932354288637
434,146.1672952,-29.32229702,1357304.97430174,-3262665.99163087,12,-2.4965756305411,30.2017825846345,2.4965756305411
437,146.171229,-29.35414363,1357284.94780776,-3266257.38557203,18,4.25804992687976,29.3755047736331,4.25804992687976
439,146.1477463,-29.32258876,1355436.13371575,-3262490.96056981,14,-1.33786675214983,30.2017825846345,1.33786675214983
443,146.298176,-29.23694901,1370860.95289132,-3254550.88580648,15,-7.67243280155767,37.0717244575366,7.67243280155767
446,146.3676318,-29.2473859,1377360.74878714,-3256461.10774424,18,-4.82424523701587,39.3013013940197,4.82424523701587
450,146.3848375,-29.26822443,1378740.61791162,-3258969.00893751,18,-3.39473348183647,39.3013013940197,3.39473348183647
452,150.4884287,-27.00787185,1806181.44698141,-3058625.04207908,9.543248745,-13.865060915064,52.2037590522616,13.865060915064
454,143.5838463,-30.83322086,1095215.0305164,-3406386.56853109,28.57738033,6.77688682439842,28.4438013159065,6.77688682439842
455,143.6190757,-30.77725345,1099106.15507365,-3400444.74857063,22.86190427,8.70556457336151,27.0197612920428,8.70556457336151
461,143.5595917,-30.67426689,1094537.29661798,-3388442.74943914,27.76088375,11.7379760189284,29.4615170635083,11.7379760189284
